2026-04-20 13:43:55.616 |  INFO |        _admin-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Updating state from FollowerState to PreVoteState (_admin in term 0: Timeout in follower state: 1303 ms.)
2026-04-20 13:43:55.624 |  INFO |        _admin-raftState-1 | i.a.a.cluster.election.DefaultPreVote    | _admin: Starting pre-vote from axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff in term 0
2026-04-20 13:43:55.625 |  INFO |        _admin-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Updating state from PreVoteState to CandidateState (_admin: Election for term 1 is won by axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff (PrimaryAndVotingMajorityStrategy {votes={axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff=true}}))
2026-04-20 13:43:55.630 |  INFO |        _admin-raftState-1 | i.a.a.logging.ClusterEventsLogger        | _admin in term 0: Leader is null
2026-04-20 13:43:55.632 |  INFO |        _admin-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 1: Term updated (axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff is starting a new election, so increases its term from 0 to 1).
2026-04-20 13:43:55.634 |  INFO |        _admin-raftState-1 | i.a.a.cluster.election.DefaultElection   | _admin: Starting election from axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff in term 1
2026-04-20 13:43:55.637 |  INFO |        _admin-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 1: Updating state from CandidateState to LeaderState (_admin: Election for term 1 is won by axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff (PrimaryAndVotingMajorityStrategy {votes={axonserver-fd10b0d0-b042-4deb-a279-da11769a48ff=true}}))
2026-04-20 13:43:55.648 |  INFO |        _admin-raftState-1 | i.a.a.logging.ClusterEventsLogger        | _admin in term 1: (notification) Leader is axonserver
2026-04-20 13:43:55.651 |  INFO |        _admin-raftState-1 | i.a.a.logging.ClusterEventsLogger        | _admin in term 1: Leader
2026-04-20 13:43:55.654 |  INFO |        _admin-raftState-1 | i.axoniq.axonserver.cluster.LeaderState  | _admin in term 1: Start replication thread for 0 peers.
2026-04-20 13:43:55.655 |  INFO |        _admin-raftState-1 | i.axoniq.axonserver.cluster.LeaderState  | _admin in term 1: Appending info that leader has been elected.
2026-04-20 13:43:55.749 |  INFO |      http-nio-8024-exec-2 | i.a.a.c.r.file.PrimaryLogEntryStore      | default: Initializing log
2026-04-20 13:43:55.749 |  INFO |      http-nio-8024-exec-2 | i.a.a.c.r.file.PrimaryLogEntryStore      | default: File for segment 1 does not exist. Creating new file with size of 16777216.
2026-04-20 13:43:55.754 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Updating state from null to IdleState (Node initialized.)
2026-04-20 13:43:55.757 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Starting the node...
2026-04-20 13:43:55.758 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Updating state from IdleState to FollowerState (Role PRIMARY)
2026-04-20 13:43:55.758 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "default" is scheduled each 1 hour(s).
2026-04-20 13:43:55.760 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Node started.
2026-04-20 13:43:57.060 |  INFO |       default-raftState-0 | i.a.axonserver.cluster.FollowerState     | default in term 0: Timeout in follower state: 1302 ms.
2026-04-20 13:43:57.060 |  INFO |       default-raftState-0 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Updating state from FollowerState to PreVoteState (default in term 0: Timeout in follower state: 1302 ms.)
2026-04-20 13:43:57.062 |  INFO |       default-raftState-0 | i.a.a.cluster.election.DefaultPreVote    | default: Starting pre-vote from axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b in term 0
2026-04-20 13:43:57.063 |  INFO |       default-raftState-0 | io.axoniq.axonserver.cluster.RaftNode    | default in term 0: Updating state from PreVoteState to CandidateState (default: Election for term 1 is won by axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b (PrimaryAndVotingMajorityStrategy {votes={axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b=true}}))
2026-04-20 13:43:57.068 |  INFO |       default-raftState-0 | i.a.a.logging.ClusterEventsLogger        | default in term 0: Leader is null
2026-04-20 13:43:57.069 |  INFO |       default-raftState-0 | io.axoniq.axonserver.cluster.RaftNode    | default in term 1: Term updated (axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b is starting a new election, so increases its term from 0 to 1).
2026-04-20 13:43:57.069 |  INFO |       default-raftState-0 | i.a.a.cluster.election.DefaultElection   | default: Starting election from axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b in term 1
2026-04-20 13:43:57.070 |  INFO |       default-raftState-0 | io.axoniq.axonserver.cluster.RaftNode    | default in term 1: Updating state from CandidateState to LeaderState (default: Election for term 1 is won by axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b (PrimaryAndVotingMajorityStrategy {votes={axonserver-0ff9695a-e708-4d44-9fd1-9fb10812dc8b=true}}))
2026-04-20 13:43:57.074 |  INFO |       default-raftState-0 | i.a.a.logging.ClusterEventsLogger        | default in term 1: (notification) Leader is axonserver
2026-04-20 13:43:57.077 |  INFO |       default-raftState-0 | i.a.a.logging.ClusterEventsLogger        | default in term 1: Leader
2026-04-20 13:43:57.077 |  INFO |       default-raftState-0 | i.axoniq.axonserver.cluster.LeaderState  | default in term 1: Start replication thread for 0 peers.
2026-04-20 13:43:57.078 |  INFO |       default-raftState-0 | i.axoniq.axonserver.cluster.LeaderState  | default in term 1: Appending info that leader has been elected.
